,yearID,PA,BB.,K.,BB.K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC.,lgID
42,1983,86688,8.20%,12.60%,0.65,0.266,0.328,0.401,0.728,0.135,4.8,0.286,NA,NA,-1.4,10210,405.7,0.325,100,AL
43,1984,86848,8.30%,13.30%,0.62,0.264,0.326,0.398,0.724,0.134,4.5,0.285,NA,NA,-35.8,10166,474.1,0.325,100,AL
44,1985,86448,8.60%,13.60%,0.63,0.261,0.327,0.406,0.733,0.144,4.7,0.282,NA,NA,-19.6,10355,534.2,0.325,100,AL
45,1986,86848,8.80%,15.00%,0.59,0.262,0.33,0.408,0.737,0.146,4.4,0.286,NA,NA,-18.3,10515,501,0.328,100,AL
46,1987,87392,8.90%,15.40%,0.58,0.265,0.333,0.426,0.759,0.161,4.7,0.288,NA,NA,-17.8,11124,392.3,0.331,100,AL
47,1988,86115,8.40%,14.30%,0.58,0.259,0.324,0.391,0.715,0.131,4.5,0.285,NA,NA,-26.5,9970,574.4,0.321,100,AL
48,1989,86203,8.40%,14.30%,0.59,0.261,0.326,0.384,0.709,0.123,4.5,0.288,NA,NA,-0.4,9839,460.3,0.32,100,AL
49,1990,86315,8.80%,14.70%,0.6,0.259,0.327,0.388,0.715,0.128,4.4,0.287,NA,NA,-42.1,9847,197.3,0.322,100,AL
50,1991,87302,8.90%,14.80%,0.6,0.26,0.329,0.395,0.724,0.135,4.4,0.288,NA,NA,-8.4,10308,460.7,0.325,100,AL
51,1992,86884,8.90%,14.00%,0.63,0.259,0.328,0.385,0.713,0.126,4.5,0.285,NA,NA,-10.7,9803,419.9,0.323,100,AL
52,1993,87575,9.10%,14.80%,0.62,0.267,0.337,0.408,0.745,0.141,4.5,0.294,NA,NA,-33.6,10778,312.6,0.331,100,AL
53,1994,62549,9.50%,15.40%,0.62,0.273,0.345,0.434,0.779,0.161,4.7,0.299,NA,NA,3.4,8286,367,0.34,100,AL
54,1995,78874,9.60%,15.40%,0.63,0.27,0.344,0.427,0.771,0.157,4.6,0.298,NA,NA,-8.8,10300,457,0.34,100,AL
55,1996,89728,9.60%,15.70%,0.61,0.277,0.35,0.445,0.795,0.168,4.6,0.304,NA,NA,-16.9,12443,886.5,0.347,100,AL
56,1997,87918,9.00%,16.50%,0.55,0.271,0.341,0.429,0.77,0.158,4.5,0.302,NA,NA,-6.6,11225,402.4,0.338,100,AL
57,1998,87876,8.80%,16.30%,0.54,0.272,0.34,0.432,0.773,0.161,4.7,0.302,NA,NA,5.7,11397,518.4,0.338,99,AL
58,1999,88093,9.40%,15.70%,0.6,0.275,0.348,0.44,0.788,0.165,4.6,0.302,NA,NA,-17.8,11774,304.1,0.345,100,AL
59,2000,88685,9.60%,15.70%,0.61,0.276,0.349,0.444,0.794,0.168,4.5,0.303,NA,NA,0.7,12038,393.5,0.346,100,AL
60,2001,87210,8.30%,16.50%,0.5,0.267,0.334,0.429,0.763,0.162,4.8,0.297,NA,NA,32.8,10995,172.6,0.329,100,AL
61,2002,86855,8.40%,16.20%,0.52,0.264,0.332,0.425,0.757,0.161,4.5,0.292,15.1,22.7,-1.6,10699,267.6,0.33,100,AL
62,2003,87313,8.30%,15.70%,0.53,0.268,0.334,0.429,0.762,0.161,4.5,0.294,5.4,9.2,8,10928,223.5,0.331,100,AL
63,2004,88019,8.50%,16.40%,0.52,0.271,0.338,0.434,0.773,0.164,4.5,0.3,-11.1,19.3,-17.3,11241,326.4,0.335,100,AL
64,2005,86670,7.90%,15.80%,0.5,0.268,0.331,0.425,0.756,0.157,4.5,0.296,27.3,7.7,-0.6,10587,195.1,0.329,100,AL
65,2006,87359,8.30%,16.10%,0.51,0.275,0.34,0.438,0.778,0.162,4.5,0.305,-32.7,-7.1,-0.5,11285,321.2,0.336,100,AL
66,2007,87493,8.60%,16.70%,0.51,0.271,0.338,0.424,0.762,0.153,4.6,0.305,1,2.1,-14.8,10974,151.2,0.333,100,AL
67,2008,87304,8.60%,16.80%,0.51,0.268,0.336,0.421,0.757,0.153,4.6,0.302,-29.8,-8.1,-0.7,10761,249.4,0.332,100,AL
68,2009,87211,8.80%,17.40%,0.51,0.267,0.336,0.429,0.765,0.162,4.7,0.3,-14.5,4.9,24.7,10886,437.8,0.335,100,AL
69,2010,86434,8.50%,17.50%,0.49,0.26,0.328,0.408,0.736,0.147,4.6,0.296,-28.4,-9.7,18.7,10174,242.9,0.325,100,AL
70,2011,86171,8.10%,17.90%,0.45,0.258,0.323,0.409,0.732,0.15,4.7,0.294,2.2,-6.4,1.5,10029,351.7,0.321,100,AL
71,2012,85797,8.00%,19.20%,0.42,0.256,0.32,0.412,0.733,0.156,4.7,0.293,-29.7,-15,10.1,10032,242.1,0.319,100,AL
72,2013,92402,8.10%,19.70%,0.41,0.256,0.321,0.406,0.726,0.149,4.2,0.298,-14.4,19.4,11.8,10501,374.1,0.319,100,AL
73,2014,91834,7.70%,19.70%,0.39,0.254,0.316,0.391,0.708,0.138,4.5,0.298,5.5,4.3,11,10097,225,0.313,100,AL
74,1942,42729,9.20%,7.90%,1.16,0.256,0.328,0.356,0.684,0.1,4.1,0.27,NA,NA,62.8,4697,150.8,0.329,100,NL
75,1943,43517,8.80%,7.60%,1.16,0.265,0.333,0.359,0.693,0.094,4.2,0.281,NA,NA,55.9,4772,337.6,0.334,100,NL
76,1944,43976,8.60%,7.30%,1.19,0.268,0.335,0.376,0.712,0.108,4.3,0.28,NA,NA,50.4,5144,385.6,0.338,100,NL
77,1945,43872,9.00%,7.20%,1.25,0.273,0.343,0.377,0.72,0.104,4.3,0.286,NA,NA,78.1,5268,507.7,0.345,100,NL
78,1946,43774,9.70%,8.30%,1.17,0.263,0.338,0.368,0.706,0.105,4.3,0.278,NA,NA,70.8,4840,256.6,0.336,100,NL
79,1947,43875,9.90%,8.30%,1.18,0.274,0.349,0.406,0.756,0.132,4.3,0.285,NA,NA,63.3,5580,599.7,0.354,100,NL
80,1948,43656,9.70%,8.90%,1.09,0.269,0.343,0.398,0.741,0.129,4.4,0.282,NA,NA,70.4,5381,220.7,0.348,100,NL
81,1949,44143,9.50%,8.60%,1.11,0.27,0.344,0.405,0.749,0.134,4.1,0.281,NA,NA,62.9,5486,241.6,0.351,100,NL
82,1950,43814,10.00%,9.50%,1.05,0.27,0.347,0.418,0.765,0.148,4.3,0.28,NA,NA,60.5,5648,193.6,0.352,100,NL
83,1951,44088,9.50%,8.90%,1.07,0.267,0.341,0.405,0.747,0.138,4.1,0.277,NA,NA,4.2,5504,328.3,0.346,100,NL
84,1952,43203,9.20%,10.00%,0.93,0.262,0.334,0.389,0.724,0.128,4,0.276,NA,NA,1.6,5082,364.2,0.338,99,NL
85,1953,43827,9.20%,10.10%,0.92,0.274,0.345,0.427,0.773,0.153,4.3,0.285,NA,NA,16.4,5791,540.9,0.351,100,NL
86,1954,44002,9.60%,9.60%,1,0.274,0.345,0.424,0.769,0.15,4.2,0.282,NA,NA,4.9,5608,622.2,0.351,100,NL
87,1955,43483,9.30%,10.40%,0.89,0.266,0.337,0.421,0.757,0.155,4.2,0.272,NA,NA,-6.9,5437,371.1,0.338,100,NL
